|Title|Artist
0|The Chipmunk Song (Christmas Don't Be Late)|The Chipmunks with David Seville
1|Smoke Gets in Your Eyes|The Platters
2|Stagger Lee|Lloyd Price
3|Venus|Frankie Avalon
4|Come Softly to Me|The Fleetwoods
5|The Happy Organ|"Dave ""Baby"" Cortez"
6|Kansas City|Wilbert Harrison
7|The Battle of New Orleans|Johnny Horton
8|Lonely Boy|Paul Anka
9|A Big Hunk o' Love|Elvis Presley
10|The Three Bells|The Browns
11|Sleep Walk|Santo & Johnny
12|Mack the Knife|Bobby Darin
13|Mr. Blue|The Fleetwoods
14|Mack the Knife|Bobby Darin
15|Heartaches by the Number|Guy Mitchell
16|Why|Frankie Avalon
17|El Paso|Marty Robbins
18|Running Bear|Johnny Preston
19|Teen Angel|Mark Dinning
20|Theme from A Summer Place|Percy Faith
21|Stuck on You|Elvis Presley
22|Cathy's Clown|The Everly Brothers
23|Everybody's Somebody's Fool|Connie Francis
24|Alley Oop|Hollywood Argyles
25|I'm Sorry|Brenda Lee
26|Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini|Brian Hyland
27|It's Now or Never|Elvis Presley
28|The Twist|Chubby Checker
29|My Heart Has a Mind of Its Own|Connie Francis
30|Mr. Custer|Larry Verne
31|Save the Last Dance for Me|The Drifters
32|I Want to Be Wanted|Brenda Lee
33|Save the Last Dance for Me|The Drifters
34|Georgia on My Mind|Ray Charles
35|Stay|Maurice Williams and the Zodiacs
36|Are You Lonesome Tonight?|Elvis Presley
37|Are You Lonesome Tonight?|Elvis Presley
38|Wonderland by Night|Bert Kaempfert
39|Will You Love Me Tomorrow|The Shirelles
40|Calcutta|Lawrence Welk
41|Pony Time|Chubby Checker
42|Surrender|Elvis Presley
43|Blue Moon|The Marcels
44|Runaway|Del Shannon
45|Mother-in-Law|Ernie K-Doe
46|Travelin' Man|Ricky Nelson
47|Running Scared|Roy Orbison
48|Travelin' Man|Ricky Nelson
49|Moody River|Pat Boone
50|Quarter to Three|Gary U.S. Bonds
51|Tossin' and Turnin'|Bobby Lewis
52|Wooden Heart|Joe Dowell
53|Michael|The Highwaymen
54|Take Good Care of My Baby|Bobby Vee
55|Hit the Road Jack|Ray Charles
56|Runaround Sue|Dion
57|Big Bad John|Jimmy Dean
58|Please Mr. Postman|The Marvelettes
59|The Lion Sleeps Tonight|The Tokens
60|The Lion Sleeps Tonight|The Tokens
61|The Twist|Chubby Checker
62|Peppermint Twist|Joey Dee and the Starliters
63|Duke of Earl|Gene Chandler
64|Hey! Baby|Bruce Channel
65|Don't Break the Heart That Loves You|Connie Francis
66|Johnny Angel|Shelley Fabares
67|Good Luck Charm|Elvis Presley
68|Soldier Boy|The Shirelles
69|Stranger on the Shore|Mr. Acker Bilk
70|I Can't Stop Loving You|Ray Charles
71|The Stripper|David Rose
72|Roses Are Red (My Love)|Bobby Vinton
73|Breaking Up Is Hard to Do|Neil Sedaka
74|The Loco-Motion|Little Eva
